,Title,published_date,Views,Likes,Comments,Month
88,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16 21:30:26+00:00,2490,92,30,Jul
89,Why are APIs Important for Data Science?,2021-07-09 13:00:32+00:00,11436,480,95,Jul
90,Is Your Phone REALLY Listening to You?,2021-07-03 13:00:31+00:00,5363,278,116,Jul
91,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25 13:00:12+00:00,19058,674,123,Jun
92,#66DaysOfData - 3 Reasons to Start!,2021-06-18 13:00:32+00:00,4168,226,39,Jun
93,#66DaysOfData - What is it? #shorts,2021-06-11 12:48:29+00:00,9848,399,54,Jun
94,A Quick Data Science Project Tip! #SHORTS,2021-06-03 13:00:06+00:00,17181,1024,89,Jun
95,Discouraged with Data Science? - Watch THIS video.,2021-05-28 13:00:02+00:00,7622,387,195,May
96,How Data Science Projects Pay Off,2021-05-22 13:30:03+00:00,11275,615,146,May
97,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14 13:00:03+00:00,10992,494,134,May
98,What is a lambda function (python)? #shorts,2021-05-13 00:38:55+00:00,16454,974,49,May
99,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07 13:00:30+00:00,35198,1772,63,May
100,What is Pandas? (Data & Data Science) #shorts,2021-04-30 13:00:07+00:00,26288,1328,85,Apr
101,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23 13:00:14+00:00,77942,3416,285,Apr
102,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16 13:00:00+00:00,23811,703,85,Apr
103,Why You Probably Won't Become a Data Scientist,2021-04-09 13:00:31+00:00,139601,4022,464,Apr
104,How to Go From Data Analyst to Data Scientist,2021-04-02 13:00:14+00:00,57519,1607,177,Apr
105,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26 13:00:03+00:00,4123,140,92,Mar
106,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19 13:00:32+00:00,19245,368,108,Mar
107,My Regrets as a Data Science Student,2021-03-12 13:00:27+00:00,24324,883,112,Mar
108,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08 13:00:06+00:00,3878,192,83,Mar
109,What is the Future of my Comment Leaderboard Project?,2021-02-26 14:00:15+00:00,5653,200,81,Feb
110,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19 13:00:14+00:00,7369,180,51,Feb
111,Why I Quit Data Science,2021-02-12 13:00:19+00:00,106315,2353,346,Feb
112,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29 13:00:06+00:00,10970,564,116,Jan
113,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23 14:00:30+00:00,7111,294,124,Jan
114,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16 14:00:10+00:00,11030,316,52,Jan
115,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08 13:00:16+00:00,26217,729,134,Jan
116,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02 14:00:26+00:00,43440,1200,148,Jan
117,What is the #66DaysOfData?,2020-12-26 14:00:31+00:00,71880,2329,193,Dec
118,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19 14:00:01+00:00,132114,5913,486,Dec
119,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10 13:00:09+00:00,11386,403,131,Dec
120,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07 14:00:11+00:00,24158,720,324,Dec
121,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20 13:00:26+00:00,29274,876,160,Nov
122,6 Lessons from #66DaysOfData,2020-11-13 13:00:02+00:00,6820,336,93,Nov
123,100K Channel Update + AMA Stream!,2020-11-12 17:34:26+00:00,2329,126,21,Nov
124,Find a Data Science Project With These 3 Techniques,2020-11-06 13:00:13+00:00,17434,737,104,Nov
125,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30 14:00:07+00:00,28913,701,153,Oct
126,git for Data Science Made Simple... (Hopefully),2020-10-23 15:00:10+00:00,24120,958,88,Oct
127,The PODCAST you might have asked for?,2020-10-19 15:00:11+00:00,2141,91,44,Oct
128,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16 15:00:18+00:00,6919,451,113,Oct
129,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14 15:00:11+00:00,15070,432,45,Oct
130,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12 15:00:00+00:00,7505,155,60,Oct
131,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09 15:00:09+00:00,13157,597,83,Oct
132,Sh*t Data Scientists Say (Parody),2020-10-05 15:00:08+00:00,10128,582,144,Oct
133,5 Proven Strategies to Break into a Data Science Job,2020-10-02 15:00:08+00:00,8720,364,93,Oct
134,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30 15:00:09+00:00,7147,285,59,Sep
135,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28 15:00:04+00:00,12367,290,69,Sep
136,5 Essential Data Science Projects for Your Portfolio,2020-09-26 15:00:06+00:00,76078,3151,207,Sep
137,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23 15:00:02+00:00,5334,202,66,Sep
138,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21 15:00:03+00:00,15346,547,60,Sep
139,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18 16:00:10+00:00,7756,252,34,Sep
140,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16 15:00:24+00:00,5247,199,56,Sep
141,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14 15:00:00+00:00,4693,159,35,Sep
142,The 5 Pillars of Success I Live By,2020-09-11 15:00:11+00:00,10266,863,152,Sep
143,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09 15:00:12+00:00,1926,77,25,Sep
144,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07 15:00:30+00:00,4110,165,43,Sep
145,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04 15:00:00+00:00,12309,744,143,Sep
146,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02 15:00:13+00:00,18234,572,87,Sep
147,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31 15:00:15+00:00,18679,794,93,Aug
148,Why I'm Starting Data Science Over Again.,2020-08-29 15:30:10+00:00,50996,2571,442,Aug
149,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26 15:00:03+00:00,15718,638,79,Aug
150,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24 15:00:31+00:00,14913,514,53,Aug
151,Don't Buy My Course..,2020-08-21 16:00:32+00:00,7380,355,144,Aug
152,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19 15:00:11+00:00,29247,1099,166,Aug
153,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17 15:00:07+00:00,3357,128,38,Aug
154,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14 15:00:31+00:00,6535,536,104,Aug
155,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12 15:30:26+00:00,5259,188,38,Aug
156,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10 15:00:08+00:00,15060,464,54,Aug
157,The Plagiarism Problem in Data Science,2020-08-07 15:00:16+00:00,13221,628,145,Aug
158,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05 15:00:09+00:00,14907,608,89,Aug
159,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03 15:00:08+00:00,5171,192,56,Aug
160,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31 14:30:01+00:00,11834,584,90,Jul
